#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder,002;Transponder,005;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder,002;Transponder,005
26,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;140,6620159;338,15348;26,93110695;-0,346990836;-0,136055203;0,00035355;5,21E-05;-0,000292782;-0,000123149;-0,00038292;-7,38E-05;4,000052929;0;0;-0,035136815;-0,19498685;9,816563606;140,6620159;338,15348
27,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;141,0569437;337,9725354;27,2881914;-0,149902764;-0,049807385;-0,00028477;-0,000349854;0,000120199;-3,56E-05;6,30E-05;-9,67E-05;3,999938726;0;0;0,136851221;0,004825563;9,75911808;141,0569437;337,9725354
27,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;141,4519001;337,7919676;27,93748361;0,077884845;0,053940952;-0,00055824;-0,000589488;0,000385807;0,000100745;-5,21E-05;5,41E-05;3,999938726;0;0;-0,066347703;-0,112889104;9,871554375;141,4519001;337,7919676
28,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;141,8468847;337,6117771;27,95432831;0,065174934;0,071830177;0,000253198;-0,000170169;-0,000427323;-0,00051143;0,000283883;0,000228416;4,000052929;0;0;-0,166008741;-0,109439738;9,789469719;141,8468847;337,6117771
28,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;142,2418974;337,4319646;28,50464967;0,181247156;0,015840281;-7,30E-05;0,00011775;-0,000442207;0,000328971;0,000175433;0,000194175;3,999938726;0;0;0,116629645;0,056745742;9,858859062;142,2418974;337,4319646
28,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;142,6369379;337,2525306;28,95925413;0,207780165;-0,159303927;-3,25E-05;1,84E-05;0,00044745;0,000126991;-1,95E-05;-0,000163511;3,999938726;0;0;0,121998951;-0,081399031;9,61524868;142,6369379;337,2525306
29,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;143,0320059;337,0734757;29,31420867;0,112275733;-0,146629703;0,000406823;-0,000428817;-0,000485382;-0,000132384;-0,000111907;-0,000310768;3,999938726;0;0;-0,133948579;-0,086122751;9,946720123;143,0320059;337,0734757
29,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;143,4271013;336,8948007;30,00100488;0,077432381;0,245799839;-1,74E-06;-0,000424011;-0,000560188;-0,000306725;1,75E-06;7,64E-05;4,000052929;0;0;-0,010113913;-0,029815212;9,757091522;143,8222238;336,7165059
30,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;143,8222238;336,7165059;30,00100488;0,077432381;0,245799839;-1,74E-06;-0,000424011;-0,000560188;-0,000306725;1,75E-06;7,64E-05;4,000052929;0;0;-0,010113913;-0,029815212;9,757091522;143,8222238;336,7165059
30,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;144,2173731;336,5385922;30,66763869;-0,135884555;0,101022945;0,000515275;-0,000316138;-4,78E-05;-1,45E-05;2,75E-05;-0,00011448;3,999938726;0;0;-0,025761753;0,053469453;9,875089645;144,2173731;336,5385922
30,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;144,6125492;336,36106;30,72129006;-0,133495247;-0,096773427;4,05E-05;-9,58E-06;0,000454885;0,000145066;-0,000160775;8,82E-05;4,000052929;0;0;-0,103092052;0,061806146;9,908882141;144,6125492;336,36106
31,2733326;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;145,0077517;336,1839101;31,85521582;0,074590536;-0,066790781;5,33E-05;6,39E-05;0,000382229;4,91E-07;-8,47E-06;-3,24E-05;4,000052929;0;0;-0,0539154;-0,040997859;9,681447029;145,4029804;336,0071428
